CuChun,JingChun,ErJiaMi,CuSuan,YiChangYiErChun,ErChangYiErChun,YeTiChanPin,YiJing,FaDianLiang,YiQiYouXiaoQi,ErQiYouXiaoQi,YiErChunQingZuFen,YiErChunZhongZuFen,RanMei
1443,994,258,1604,0,0,57,29,45,0,388,0,,1825
1406,1009,256,1605,0,0,56,29,45,0,390,0,,1915
1440,1087,239,1603,0,0,62,29,45,0,391,0,,1878
1397,1043,226,1604,0,0,63,28,48,0,380,0,,1893
1390,1039,230,1601,0,0,55,29,47,0,380,0,,1967
1427,1019,229,1600,0,0,67,30,46,0,388,0,,1800
1449,1033,231,1602,0,0,58,29,45,0,391,0,,1930
1410,1014,231,1602,0,0,60,30,45,0,381,0,,1987
1438,1029,231,1610,0,0,61,29,45.4,0,398,0,,1761
1456,1007,231,1605,0,0,62,29,44.4,0,395,0,,1897
1474,1052,230,1608,0,0,63,29,43.2,0,401,0,,1811
1467,1033,229,1605,0,0,60,30,45.7,0,401,0,,1752
1466,1074,230,1589,0,0,56,29,46.1,0,397,0,,1779
1483,1084,230,1578,0,0,65,29,45.5,0,397,0,,1772
1464,1100,230,1571,0,0,55,29,45,0,397,0,,1786
1489,1086,230,1499,0,0,53,29,44.6,0,400,0,0,1658
1479,1081,229,1501,0,0,52,29,43.6,0,403,0,0,1689
1479,1101,229,1499,0,0,52,29,45.5,0,400,0,0,1801
1468,1095,247,1501,0,0,46,29,45,0,400,0,0,1750
1492,1088,263,1512,0,0,46,29,44,0,401,0,0,1647
1468,1043,261,1546,0,0,54,29,34,0,401,0,0,1760
1483,1073,266,1571,0,0,52,29,39,0,402,0,0,1638
1468,1076,264,1567,0,0,54,29,44,0,402,0,0,1638
1462,1092,261,1570,0,0,53,29,41,0,403,0,0,1550
744,336,187,325,0,0,69,29,26,0,352,0,0,1517
1555,1044,265,943,0,0,59,28,31,0,396,0,0,1597
1470,1067,283,1563,0,0,53,28,43,0,402,0,0,1567
1453,1089,282,1556,0,0,59,28,42,0,400,0,0,1667
1436,1095,282,1556,0,0,53,29,45,0,397,0,0,1616
1459,1098,282,1576,0,0,50,29,43,0,401,0,0,1684
1446,1093,280,1576,0,0,50,28,42,0,406,0,0,1741
1412,1102,272,1581,0,0,47,28,42,0,399,0,0,1750
1401,1093,278,1596,0,0,43,29,39,0,392,0,0,1746
1430,1108,277,1590,0,0,47,29,40,0,395,0,0,1727
1441,1130,278,1573,0,0,45,28,42,0,398,0,0,1740
1408,1095,278,1590,0,0,53,28,41,0,397,0,0,1974
1415,1137,278,1595,0,0,49,29,44,0,396,0,0,1763
1429,1107,278,1594,0,0,46,29,45,0,399,0,0,1694
1452,1117,278,1593,0,0,50,29,44,0,400,0,0,1609
1457,1128,280,1584,0,0,47,29,41,0,404,0,0,1759
1457,1121,279,1509,0,0,47,29,42,0,406,0,0,1854
1432,1106,279,1499,0,0,37,28,36,0,401,0,0,1841
1413,1114,278,1368,0,0,53,28,41,0,404,0,0,1691
1335,1089,279,1384,0,0,55,27,37,0,395,0,0,1882
1356,1117,276,1491,0,0,53,28,42,0,394,0,0,1946
1345,1108,280,1504,0,0,55,29,41,0,397,0,0,1950
1398,1099,279,1502,0,0,61,28,42,0,398,0,0,1813
1430,1105,279,1500,0,0,64,28,44,0,398,0,0,1670
1431,1095,280,1500,0,0,58,29,42,0,398,0,0,1674
730,585,277,1435,0,0,96,29,35,0,283,0,0,1960
1358,992,284,1341,0,0,71,28,44,0,367,0,0,1747
1390,992,281,1499,0,0,50,29,43,0,383,0,0,1577
753,601,280,1478,0,0,85,28,39,0,264,0,0,1640
526,0,272,1486,0,0,75,28,44,0,202,0,0,1663
527,0,245,1457,0,0,120,29,43,0,204,0,0,1652
525,0,246,1492,0,0,130,29,43,0,203,0,0,1732
616,0,245,372,0,0,158,27,41,0,192,0,0,1895
854,0,243,311,0,0,89,20,38,0,283,0,0,1979
962,773,242,1034,0,0,113,29,34,0,291,0,0,1856
580,832,238,1072,0,0,85,28,29,0,226,0,0,1808
1333,1027,236,1090,0,0,80,29,38,0,373,0,0,1669
1396,1060,240,1056,0,0,80,28,43,0,361,0,0,1686
1384,1084,239,1050,0,0,77,29,43,0,359,0,0,1695
1244,936,236,1061,0,0,95,29,24,0,341,0,0,1767
576,0,110,1076,0,0,127,29,0,0,184,0,0,1934
579,0,0,1140,0,0,99,28,0,0,183,0,0,2148
703,444,0,1153,0,0,211,29,29,59,181,0,0,2217
1645,1036,0,1168,0,0,176,29,41,271,182,0,0,2179
1427,1044,0,1168,0,283,176,28,30,297,185,0,0,2179
1411,1031,0,1168,0,527,216,27,36,310,184,0,0,2337
1372,605,0,1166,0,527,224,29,17,309,184,53,10,2114
1383,920,0,1191,0,556,206,29,28,312,184,48,3,2129
1331,853,0,1248,0,548,210,28,30,302,184,48,4,2328
1291,1004,0,1257,0,537,203,29,37,308,180,45,3,2583
1348,1031,0,1258,0,563,171,29,40,312,182,56,5,2664
1370,1024,0,1257,0,569,179,29,35,314,184,45,4,2457
1356,982,0,1258,0,559,168,28,37,315,180,42,4,2664
1335,1044,0,1199,0,561,179,29,23,307,185,39,5,2800
1380,1052,0,1115,0,558,183,29,25,308,189,38,5,2745
1293,1008,0,1198,0,561,186,29,31,302,186,37,5,2553
1352,1065,0,1243,0,563,187,28,26,311,187,25,5,2663
1374,913,0,1249,0,569,187,29,31,313,186,7,4,2563
1340,947,0,1264,0,564,190,28,32,306,185,23,6,2675
1395,1074,0,1270,0,572,178,28,24,318,185,21,8,2702
1389,1067,0,1289,0,568,165,29,24,319,186,33,3,2783
1393,1068,72,1317,0,566,203,28,15,321,188,34,5,2801
1387,905,234,1339,0,571,175,29,15,320,186,29,5,2793
1418,993,238,1347,0,567,184,29,20,317,186,30,4,2693
1402,600,272,1310,0,486,199,29,10,313,188,33,5,2810
1385,0,276,1315,0,522,186,29,0,321,186,38,5,2151
1414,0,237,1336,0,566,193,30,14,324,190,41,5,2179
1406,0,232,1348,0,550,197,29,30,319,190,53,5,2410
1425,0,231,1293,0,565,163,28,6,320,188,47,4,2234
1429,0,228,1305,0,555,149,28,13,323,189,46,4,2310
1409,423,227,1335,0,553,152,28,22,321,187,50,5,2481
1411,1002,228,1364,0,556,148,28,17,322,188,46,4,2479
1400,997,389,1371,0,525,130,28,11,319,189,40,4,2686
1402,1040,558,1380,0,562,135,28,0,323,188,38,5,2596
1409,1081,0,1392,0,557,133,28,0,322,188,42,8,2748
1442,1047,0,1427,0,510,141,30,0,321,221,43,8,2831
1430,1126,0,1434,0,563,192,29,0,325,199,39,7,2546
1437,1007,0,1423,0,484,191,28,0,317,206,38,8,2569
1413,1200,0,1428,0,559,214,28,3,321,214,39,8,2499
1448,1346,0,1427,0,563,208,29,21,326,211,37,7,2632
1449,1379,0,1427,0,564,185,29,22,326,211,37,7,2575
1409,1398,0,1411,0,563,189,29,28,321,207,40,7,2757
1373,1394,0,1336,0,558,191,29,35,315,203,39,7,2608
1351,1402,0,1347,0,561,181,29,37,310,199,38,8,2450
1360,1369,0,1349,0,561,187,29,46,311,199,38,8,2823
1383,1354,0,1355,0,559,189,29,35,314,208,38,8,2707
1370,1371,0,1391,0,560,189,29,36,312,216,38,8,2421
1358,1369,0,1392,0,560,156,29,34,307,208,38,8,2376
1398,1422,0,1394,0,545,145,29,41,310,208,40,7,2587
1380,1404,0,1392,0,525,158,29,30,302,206,37,7,2689
1305,1434,0,1387,0,541,146,30,28,293,205,36,7,2865
1468,1450,0,1394,0,556,172,29,39,324,202,37,7,2719
1437,1455,0,1394,0,559,166,29,38,323,196,37,6,2638
1459,1463,0,1385,0,557,157,29,32,321,197,36,6,2562
1475,1457,0,1381,0,559,160,29,36,325,193,36,6,2584
1484,1451,0,1369,0,553,155,28,36,323,199,38,6,2589
1489,1455,0,1357,0,557,144,28,32,325,201,38,6,2577
1462,1457,0,1354,0,556,152,28,20,323,194,36,6,2588
1446,1474,0,1358,0,557,152,29,38,322,194,35,6,2465
1483,1464,0,1355,0,558,139,29,40,326,199,34,7,2364
1454,1473,0,1353,0,557,143,29,41,324,198,34,6,2327
1464,1477,0,1391,0,559,146,29,37,322,201,36,6,2291
1444,1485,0,1410,0,559,141,29,34,326,203,37,6,2367
1416,1478,0,1408,0,553,150,31,36,322,200,35,6,2562
1381,1486,0,1408,0,560,152,29,35,319,197,37,5,2618
1388,1480,0,1409,0,559,131,28,35,319,195,36,5,2566
1394,1473,0,1400,0,557,152,28,40,318,191,37,5,2589
1397,1296,0,1393,0,559,150,28,36,316,192,38,5,2695
1413,1472,0,1380,0,558,136,29,34,317,195,38,6,2543
1251,1250,0,1390,0,499,148,29,38,301,194,40,6,2586
1352,1223,0,1389,0,514,149,29,37,314,192,37,7,2556
1415,1466,0,1397,0,560,153,29,34,323,192,33,6,2607
1315,1486,0,1355,0,545,162,28,31,309,185,36,6,2653
1359,1480,0,1336,0,557,138,30,38,320,188,34,7,2757
1351,1501,0,1340,0,558,129,29,45,323,190,38,5,2963
1365,1507,0,1370,0,560,165,28,45,311,196,39,5,2880
1400,1524,0,1380,0,560,150,28,46,319,197,39,6,2617
1415,1540,0,1379,0,559,143,29,43,315,199,31,6,2650
1425,1552,0,1380,0,558,152,29,39,321,201,39,6,2714
1422,1522,0,1408,0,552,193,29,42,322,202,38,7,2583
1401,1508,0,1425,0,561,192,29,41,319,194,40,7,2600
1399,1496,0,1425,0,559,199,28,39,322,196,38,7,2631
1401,1501,0,1423,0,556,186,29,41,321,197,37,7,2696
1408,1496,0,1423,0,556,180,28,40,322,201,37,7,2634
1414,1507,0,1423,0,556,184,29,40,321,200,37,7,2599
1412,1514,0,1422,0,555,185,29,40,319,200,39,7,2612
1424,1506,0,1425,0,557,182,29,37,319,197,40,7,2651
1410,1504,0,1424,0,555,186,29,40,319,199,41,7,2726
1367,1484,0,1446,0,556,188,28,39,318,195,38,7,2607
1379,1473,0,1454,0,555,188,29,31,320,197,39,7,2703
1383,1484,0,1435,0,557,194,29,40,322,200,39,6,2814
