粗醇(t),精醇(t),二甲醚(t),醋酸(t),一厂乙二醇(t),二厂乙二醇(t),液体产品(t),乙腈(t),发电量(万度),一期有效气(万Nm3),二期有效气(万Nm3),乙二醇轻组分(t),乙二醇重组分(t),燃煤(t),一期原煤(t),二期原煤(t),下网电量(万kwh),一期用电量(万度),二期用电量(万度),预脱盐水(t),软化水(t),市政污水处理量(m3/d),新城提升泵供水(m3/d),一期酸脱年耗醇,二期酸脱年耗醇
1360,0,248,1422,0,528,188,28,43,317,190,38,6,2715,2134,1220,133,59,116,18039,35030,2162,8292,529.58,850.34
1391,1042,248,1424,0,529,188,28,42,318,189,37,6,2787,2134,1223,141,60,123,17798,33683,1995,8010,529.58,850.34
1377,1227,248,1421,0,529,176,29,40,316,188,36,6,2674,2134,1242,143,60,123,18429,35129,1936,8089,529.58,850.34
1393,1288,249,1407,0,525,182,29,42,316,191,37,7,2636,2134,1224,142,61,124,18669,34429,1882,7539,529.58,850.34
1402,1305,248,1350,0,526,176,28,43,318,189,36,8,2524,2134,1223,142,61,124,18250,36286,1952,7916,529.58,850.34
1434,1337,247,1348,0,527,180,28,33,321,191,35,8,2588,2134,1215,154,61,126,18367,37533,1970,8004,529.58,850.34
1443,1336,82,1353,0,524,191,28,40,323,187,36,8,2561,2134,1239,143,61,123,18476,35503,2054,8145,529.58,850.34
1481,1344,0,1353,0,511,176,30,41,323,192,35,8,2615,2134,1246,142,61,122,18351,35639,2042,8046,529.58,850.34
1473,1346,0,1352,0,540,197,29,40,322,192,39,8,2686,2134,1249,138,60,118,16314,38546,1988,8155,529.58,850.34
1468,1351,0,1388,0,517,162,28,47,323,191,41,10,2527,2134,1247,129,59,117,18500,36032,1973,7796,529.58,850.34
1425,1339,0,1408,0,525,179,28,50,320,190,38,8,2822,2134,1262,128,60,118,17622,32647,2195,8066,529.58,850.34
1455,1097,0,1454,0,524,191,28,52,323,193,37,6,2723,2134,1245,124,60,116,17132,36175,2056,7836,529.58,850.34
1432,1337,0,1456,0,527,193,28,40,320,189,36,6,2770,2134,1242,134,59,115,18478,31623,1958,7823,529.58,850.34
1422,1151,0,1457,0,524,197,28,43,321,189,36,9,2684,2134,1245,132,59,117,16856,39111,1899,7741,529.58,850.34
1428,1345,0,1456,0,526,176,29,41,321,190,45,9,2769,2134,1243,132,59,114,18108,34106,1618,7889,529.58,850.34
1447,1357,0,1449,0,520,193,30,41,322,191,39,9,2721,2134,1242,132,59,115,18374,34791,1972,7911,529.58,850.34
1427,1410,0,1423,0,528,193,29,42,321,190,37,7,2634,2134,1247,140,59,123,18366,37148,1962,8110,529.58,850.34
1434,1420,0,1424,0,529,184,29,48,321,191,37,7,2676,2119,1230,137,59,126,18532,38249,1720,7328,529.58,850.34
1457,1405,0,1425,0,525,173,28,50,323,189,37,7,2680,2127,1220,138,59,129,18615,34980,1410,7511,529.58,850.34
1439,1409,0,1426,0,526,186,28,49,321,186,40,7,2860,2134,1222,140,59,130,18567,34910,1407,7331,529.58,850.34
1416,1245,0,1256,0,385,190,28,48,319,175,38,7,3027,2109,1145,143,59,131,18427,35909,1555,7661,529.58,850.34
1465,1340,0,1406,0,466,172,20,48,322,178,44,7,2766,2055,1152,134,60,122,18599,38206,1533,7556,529.58,850.34
1439,1299,0,1424,0,508,166,30,47,324,182,38,6,2759,2062,1605,149,63,133,18189,33783,1676,7605,529.58,850.34
1453,1352,0,1416,0,529,192,28,49,325,191,37,7,2855,2077,1473,139,61,127,16882,37866,1609,4700,529.58,850.34
1486,1364,0,1425,0,525,173,28,39,323,199,36,7,2794,2024,1262,149,62,126,16519,40587,1646,9460,529.58,850.34
1453,1373,0,1398,0,527,189,29,46,325,193,32,7,2956,2063,1255,140,59,127,15401,40206,1154,9552,529.58,850.34
1476,1361,0,1349,0,530,194,28,48,329,192,36,6,2713,2095,1265,138,60,127,17095,40276,1708,10192,529.58,850.34
1472,1357,0,1348,0,529,173,28,48,327,193,37,6,2818,2078,1273,138,59,126,17088,39682,1677,9901,529.58,850.34
1482,1345,0,1350,0,529,194,28,47,326,193,37,6,3090,2069,1265,139,59,127,15898,37206,1550,9975,529.58,850.34
1487,1392,0,1349,0,528,168,28,47,326,193,38,6,3104,2065,1246,140,59,128,16845,37959,1605,9999,529.58,850.34
1466,1415,0,1414,0,527,185,28,47,326,191,38,6,2775,2062,1241,140,59,127,16337,35287,1815,10048,529.58,850.34
1553,626,0,1333,0,226,202,28,18,307,179,19,3,2316,2062,1196,172,69,121,17777,35606,1558,9767,529.58,850.34
1712,0,0,1395,0,0,167,30,0,289,179,0,0,1945,1947,1172,191,75,115,17370,33728,1790,9731,529.58,850.34
1586,948,0,1416,0,107,166,28,18,315,189,0,0,2525,2092,1226,164,58,124,17572,35400,1900,10393,625.48,912.71
1434,1390,0,1428,0,533,181,28,44,320,194,78,7,2869,2169,1238,141,58,127,17879,33984,1896,11045,721.38,975.08
1436,1407,0,1427,0,522,167,28,48,322,193,45,7,2811,2160,1243,138,58,128,17422,35786,1893,10737,721.38,975.08
1397,1408,0,1430,0,525,184,28,47,315,192,41,7,2724,2210,1257,137,57,127,18455,38330,1863,10210,721.38,975.08
1438,1393,0,1429,0,528,168,29,49,322,195,38,7,2696,2159,1266,137,59,127,18226,37357,1704,10218,721.38,975.08
1444,1399,0,1427,0,522,179,29,51,320,193,39,8,2731,2149,1266,136,59,127,18158,37628,1712,10959,721.38,975.08
1481,1402,0,1426,0,527,182,28,50,321,199,41,8,2795,2094,1257,136,60,126,17021,39719,1867,10869,721.38,975.08
1428,1202,0,1425,0,524,186,28,50,317,194,36,8,2829,2068,1258,137,60,127,18411,36733,1688,10573,721.38,975.08
1457,1394,0,1425,0,524,188,28,45,323,193,40,8,2985,2014,1249,141,59,126,15841,38037,1812,10304,721.38,975.08
1391,1265,0,1426,0,524,184,30,43,318,189,38,7,2768,2087,1278,142,59,127,17159,32082,1770,10129,721.38,975.08
1416,1405,0,1397,0,525,175,28,49,321,193,35,7,2774,2102,1286,137,59,127,18216,36137,1813,10633,721.38,975.08
1474,1416,0,1347,0,526,198,28,45,327,194,40,7,2952,2045,1271,141,59,128,17460,30830,1878,10239,721.38,975.08
1426,1245,0,1326,0,527,191,30,32,321,188,37,7,3007,2152,1281,154,59,128,15824,35005,1768,10865,721.38,975.08
1422,1164,0,1350,0,525,181,28,24,322,190,41,7,3005,2216,1302,166,59,131,18509,37123,1921,10701,721.38,975.08
1318,1258,0,1351,0,518,193,28,29,313,181,40,6,3059,2094,1249,160,59,131,17910,36337,1986,10332,721.38,975.08
1343,1301,0,1382,0,525,191,28,20,315,181,36,6,2786,2096,1257,167,58,129,17684,36730,1897,10643,721.38,975.08
1443,1262,0,1400,0,531,212,28,12,321,190,42,6,2689,2210,1282,174,59,127,18094,28722,1813,10711,721.38,975.08
1404,1332,0,1399,0,528,221,28,8,319,191,38,6,2551,2290,1278,179,59,129,17721,30637,1802,10410,721.38,975.08
1408,1402,0,1397,0,527,211,28,17,321,189,37,6,2620,2256,1294,174,59,131,18090,37745,1843,10701,721.38,975.08
1417,1428,0,1397,0,526,218,29,17,326,187,38,6,2670,2291,1305,175,59,132,17372,39877,1794,10630,721.38,975.08
1388,1421,0,1385,0,531,221,28,12,327,184,39,6,2605,2291,1302,179,59,132,17540,38032,1425,10554,721.38,975.08
1369,1408,0,1370,0,530,210,28,15,320,188,38,6,2700,2291,1286,176,59,132,17343,38982,1384,10127,721.38,975.08
1377,1398,0,1367,0,527,202,28,13,319,189,37,6,2689,2291,1290,178,59,132,17234,32107,1480,10512,721.38,975.08
1395,1402,0,1365,0,527,220,28,15,323,189,40,6,2668,2291,1304,176,59,131,17278,38445,1623,10605,721.38,975.08
1405,1400,0,1360,0,527,221,29,17,324,187,36,6,2656,2253,1289,175,59,133,17390,34913,1525,10448,721.38,975.08
1398,1397,0,1356,0,525,226,28,17,325,185,39,6,2737,2291,1282,175,60,132,17179,37734,1487,10575,721.38,975.08
1396,1180,0,1353,0,523,224,28,22,326,186,40,6,2953,2291,1286,171,60,133,17539,37826,1804,10608,721.38,975.08
1381,1337,0,1327,0,462,208,24,26,310,188,37,6,2809,2170,1284,166,59,133,17512,37129,1894,10580,721.38,975.08
1459,1392,0,1334,0,532,220,27,38,331,190,39,6,2877,2291,1266,154,59,134,17562,38393,1877,10454,721.38,975.08
1405,1397,0,1350,0,522,221,15,28,317,191,39,6,2768,2291,1265,164,61,132,17213,35880,1868,10380,721.38,975.08
